emb_type,m,n,k,RMSSTD-lit-gpt-p-val
cbow,1,4,8,1.632129087370871e-298
cbow,1,4,10,1.0364835888125505e-297
cbow,1,5,2,2.3144756567323593e-191
cbow,1,5,4,2.481358198265466e-289
cbow,1,5,6,1.2357257960861846e-303
cbow,1,5,8,1.0317353532883231e-305
cbow,1,5,10,5.180140992794568e-303
cbow,1,6,2,9.04924961014662e-222
cbow,1,6,4,1.0925751374919103e-297
cbow,1,6,6,5.2897652529705356e-306
cbow,1,6,8,3.410422392097397e-308
cbow,1,6,10,1.823792797900688e-304
cbow,1,7,2,9.283629789872619e-245
cbow,1,7,4,1.913805040437658e-304
cbow,1,7,6,2.2862490365612343e-308
cbow,1,7,8,7.92361130463034e-310
cbow,1,7,10,2.2404239867361844e-304
cbow,1,8,2,7.6339756875705e-263
cbow,1,8,4,3.1745345838152348e-307
cbow,1,8,6,3.34301895936106e-310
cbow,1,8,8,5.87188009405384e-310
cbow,1,8,10,4.2181587428508434e-305
cbow,1,9,2,4.425418513100258e-276
cbow,1,9,4,2.110876426994403e-309
cbow,1,9,6,3.9047554992533e-310
cbow,1,9,8,1.287200992457982e-307
cbow,1,9,10,3.6945602811062974e-302
cbow,1,10,2,1.9024258402419244e-288
cbow,1,10,4,4.29878484863177e-309
cbow,1,10,6,8.03994928232881e-309
cbow,1,10,8,2.514354953677761e-305
cbow,1,10,10,6.056328029703214e-299
cbow,2,2,2,3.7995174584949706e-90
cbow,2,2,4,1.248615637034749e-131
cbow,2,2,6,9.825809215275707e-120
cbow,2,2,8,9.48712708523671e-116
cbow,2,2,10,1.3018702605067788e-99
cbow,2,3,2,2.444468609428951e-214
cbow,2,3,4,6.160722403013565e-171
cbow,2,3,6,1.8314900942266887e-164
cbow,2,3,8,4.688426780867829e-159
cbow,2,3,10,5.655821979559962e-154
cbow,2,4,2,1.4073513407215687e-222
cbow,2,4,4,2.4262381594480004e-175
cbow,2,4,6,7.552298004169964e-169
cbow,2,4,8,3.0469890058987084e-164
cbow,2,4,10,2.639423913309064e-159
cbow,2,5,2,2.3345094737896327e-213
cbow,2,5,4,1.2258546131940792e-177
cbow,2,5,6,1.3621161290302923e-171
cbow,2,5,8,1.4766037052317507e-169
cbow,2,5,10,2.7265429440031785e-164
cbow,2,6,2,4.260444214935631e-206
cbow,2,6,4,1.41217253017337e-178
cbow,2,6,6,3.105606687418478e-173
cbow,2,6,8,1.2518639605717439e-170
cbow,2,6,10,1.752303246820931e-166
cbow,2,7,2,2.3973437807720004e-200
cbow,2,7,4,9.46697446088731e-178
cbow,2,7,6,3.040360760404723e-174
cbow,2,7,8,6.628940223796586e-172
cbow,2,7,10,4.749946027148631e-168
cbow,2,8,2,1.1525314047061253e-196
cbow,2,8,4,4.8518965739435904e-178
cbow,2,8,6,8.478521418318145e-174
cbow,2,8,8,6.812936171489616e-173
cbow,2,8,10,1.454176834093977e-168
cbow,2,9,2,6.0889405985231e-190
cbow,2,9,4,6.0557795067820176e-179
cbow,2,9,6,7.896743606284482e-176
cbow,2,9,8,2.7174587271477047e-174
cbow,2,9,10,8.902264705480946e-169
cbow,2,10,2,6.625040323370328e-194
cbow,2,10,4,1.7192899185429628e-179
cbow,2,10,6,3.0013057287977984e-178
cbow,2,10,8,1.3452316112810208e-175
cbow,2,10,10,2.226160430297644e-173
cbow,3,2,2,0.0
cbow,3,2,4,0.0
cbow,3,2,6,0.0
cbow,3,2,8,0.0
cbow,3,2,10,0.0
cbow,3,3,2,0.0
cbow,3,3,4,0.0
cbow,3,3,6,0.0
cbow,3,3,8,0.0
cbow,3,3,10,0.0
cbow,3,4,2,0.0
cbow,3,4,4,0.0
cbow,3,4,6,0.0
cbow,3,4,8,0.0
cbow,3,4,10,0.0
cbow,3,5,2,0.0
cbow,3,5,4,0.0
cbow,3,5,6,0.0
cbow,3,5,8,0.0
cbow,3,5,10,0.0
cbow,3,6,2,0.0
cbow,3,6,4,0.0
cbow,3,6,6,0.0
cbow,3,6,8,0.0
cbow,3,6,10,0.0
cbow,3,7,2,0.0
cbow,3,7,4,0.0
cbow,3,7,6,0.0
cbow,3,7,8,0.0
cbow,3,7,10,0.0
cbow,3,8,2,0.0
cbow,3,8,4,0.0
cbow,3,8,6,0.0
cbow,3,8,8,0.0
cbow,3,8,10,0.0
cbow,3,9,2,0.0
cbow,3,9,4,0.0
cbow,3,9,6,0.0
cbow,3,9,8,0.0
cbow,3,9,10,0.0
cbow,3,10,2,0.0
cbow,3,10,4,0.0
cbow,3,10,6,0.0
cbow,3,10,8,0.0
cbow,3,10,10,0.0
cbow,4,2,2,0.0
cbow,4,2,4,0.0
cbow,4,2,6,0.0
cbow,4,2,8,0.0
cbow,4,2,10,0.0
cbow,4,3,2,0.0
cbow,4,3,4,0.0
cbow,4,3,6,0.0
cbow,4,3,8,0.0
cbow,4,3,10,0.0
